"Which CNCF project(s) do you primarily contribute to?
Specify the project(s) where you are most active (e.g., Kubernetes, Prometheus, Argo).","What is your primary contributor role?
Select the role that best describes your core activities within the community.","How long have you been contributing to CNCF projects?
This helps us understand if AI adoption patterns differ between seasoned maintainers and new contributors.","Do any of the projects you contribute to currently disclose the usage of AI tools in its documentation or governance?
Does the project's README, website, or contributing guide explicitly mention if AI is used in the development process?","Are you aware of any specific AI policies governing your project(s)?
Whether at the project or org level, are there rules you are expected to follow?","If yes, which policy does your project have?
Please describe the current ""vibe"" or official stance on AI tools in your project(s).","If yes, could you provide link to the repository/policy?","How do you currently use AI in your workflow? Select all that apply.
Please categorize your level of AI interaction from simple external queries to fully integrated automation.","Which AI tools do you use most frequently for project work? Tell us your ""stack"" (e.g., GitHub Copilot, ChatGPT, KubeGPT, etc.).",Where is your projects integrating AI-powered tools? Identify where AI is being used as a project-wide utility rather than just an individual's personal tool.,"In your opinion, in which areas has AI been most helpful? (Select all that apply) Where are you seeing the biggest ""productivity wins"" or quality improvements?","Do you believe AI-assisted contributions should require disclosure in pull requests? We are seeking community sentiment on whether ""AI-authored"" tags should be a standard requirement for transparency.","When reviewing pull requests from new contributors in your CNCF project, what challenges or concerns do you encounter if the submitted code appears to be partially or fully generated using AI tools?
As a reviewer, how do you handle the influx of code that may not have been written by a human?","What is your biggest concern regarding AI usage in CNCF projects?
From legal liability to the ""noise"" of low-quality PRs, what keeps you up at night?",Anything else you’d like to share on the topic? Use this space for any nuances we might have missed in the multiple-choice questions.
"helm,oras","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,"Yes, all",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","copilot,claude","Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,Reviewer or maintainer workload,
Backstage,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/backstage/backstage/blob/master/CONTRIBUTING.md#ai-use-policy-and-guidelines,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",GitHub Copilot,"Code Reviews, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Code Reviews / Pull Requests Analysis",Unsure,It doesn’t apply to me,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","On AI disclosure on PR i think there is a subtle difference between AI-assisted or AI bot... for AI assisted i would assume every PR is in some way AI assisted at this point. but would be nice to understand if a human looked at it or not yet.

many PR are autogenerated and the author does not take the time to understand the problem, and interacting with does PR is really challenging"
"Submariner, Kubernetes","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,I don't have any major concern at this time,
Porter,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",I use GitHub Copilot but I know another contributor uses Claude Code,Code Reviews,"Writing/Refactoring Code, Code Reviews / Pull Requests Analysis",Unsure,It doesn’t apply to me,"Security vulnerabilities, Reviewer or maintainer workload",
"Contour, Gateway API","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","github copilot, cursor",It doesn't,"Writing/Refactoring Code, Understanding the codebase","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"tremor ","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","claude, codex ( at work )",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,"Reviewer or maintainer workload, Impact on community health and contributor growth",
kcp,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","claude, gemini, copilot-cli",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase",No,"We follow the usual PR review process, but majority of these never pass CI and original authors don't follow up leaving us in peace :)","Reviewer or maintainer workload, High volume of low-effort issues or PRs",
operator-framework,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://github.com/operator-framework/community/blob/master/ai-policy.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","gh copilot, claude code, PAI (https://github.com/danielmiessler/Personal_AI_Infrastructure)",Code Reviews,"Debugging and Troubleshooting, Understanding the codebase","Yes, always",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload",
Kubewarden,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/kubewarden/community/blob/main/CONTRIBUTING.md#ai-usage-policy,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Github Copilot,Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
"TUF, in-toto","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"None, Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","I occasionally use Cursor or Antigravity, but not for CNCF project work.  I might slightly revise a document's grammar with chatgpt",It doesn't,Writing/Improving Documentation,"Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",It's too time consuming to go through AI slop reports.  There needs to be some help with this.
"kubestellar, volcano","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,"Yes, most but not all",Yes,No policies exist,https://github.com/kubestellar/console/issues,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",GitHub Copilot,"Code Reviews, Issue Triaging, CI/CD","Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, High volume of low-effort issues or PRs",
Backstage,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot , OpenCode and Claude code M",Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Telepresence,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, most but not all",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claud Code,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase","Yes, always",It doesn’t apply to me,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
OpenEverest,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",Github Copilot,It doesn't,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,
Karmada,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","GitHub Copilot, Gemini",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
KubeElasti,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,No,No,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",OpenAI Codex,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,High volume of low-effort issues or PRs,
Inspektor Gadget,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Copilot with Claude Opus 4.6,It doesn't,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
"Karmada, Kyverno, NFD, Logging Operator","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, but most do not",No,AI usage is allowed (any tool is ok),,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Windsurf, Gemini, Factory AI",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
KAI Scheduler,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,No,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Cursor, Claude Code","Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase",No,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Microcks,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,"Yes, but most do not",No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","ChatGPT, Claude","Issue Triaging, CI/CD","Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Code quality",
"Kserve, envoy ai gateway ","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (but only specific tools),https://github.com/kserve/kserve,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload",
urunc,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/urunc-dev/urunc/blob/main/docs/developer-guide/llm-policy.md,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","Github Copilot, ChatGPT and Claude all for chatting",It doesn't,"Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Thanos and OpenTelemetry,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase","Yes, in some cases",It doesn’t apply to me,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs","AI assisted coding is very helpful for contributing to opensource, but only if it is used wisely and by a competent developer. There is definitely a risk for low-effort and ""AI Slop"" contributions, which is why guidelines should be in place. Overall, we should be promoting the usage of these tools, as long as it isn't obviously AI generated and untested."
Kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
"Flux, Cozystack","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing, Hype man",2 years+,"Yes, all",No,AI usage is allowed (any tool is ok),https://fluxcd.io/blog/2025/05/ai-assisted-gitops/ - promotes read-only use of our MCP tool,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Copilot, Groq, Gemini, Helix.ml","Code Reviews, We are developing tools for our userbase to facilitate their use of AI, so we need to use AI also. Follow trends & do what our users do, wherever it is possible to do safely.","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always","We sometimes reject a PR for being too AI-slop - we usually attempt to communicate with the user to see if they can help us figure out their intentions, and help them with our experience.","Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
OpenEverest,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Github Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload",
Zot,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth, It can be hard for those who have not adopted AI to keep-up with others who have. AI is moving from being a choice to a silent mandate as not adopting it risks being left behind as others ship code faster. This applies to both projects and as individuals.","The number of iterations of code being pushed increase, thereby increasing wasted CI/CD runs and consequently, compute usage and energy usage."
OpenTelemetry,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/open-telemetry/community/blob/main/policies/genai.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code, Github Copilot","Depends on a per-repo basis, I personally don't use it on repositories since we have enough faulty AI contributing already :)","Writing/Refactoring Code, Understanding the codebase","Yes, always","It breaks the usual flow of getting someone to understand the codebase since, typically, these kinds of users are not learning about the codebase on the experience and 'just' want to inflate their CV. The feedback loop tends to be much slower, understanding is much harder and it generally is an unpleasant experience","High volume of low-effort issues or PRs, Impact on community health and contributor growth","We really need Github to provide builtin tooling for dealing with this. Until we can effectively restrict the new number of open PRs and enforce some policies/workflows at the Github-level, this will be an area where everybody suffers"
wasmCloud,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,None,,Code Reviews,Code Reviews / Pull Requests Analysis,"Yes, always",It doesn’t apply to me,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Devfile,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"KubeArmor, Cilium","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,There is no AI policy for both Cilium or KubeArmor.,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,"Code Reviews, Code Dev","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Carvel,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot and Claude Code,Code Reviews,"Writing/Refactoring Code, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Spin,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,https://github.com/spinframework,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Spin,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,None,,It doesn't,I am not using LLMs,"Yes, always",We follow the usual PR review process,"Security vulnerabilities, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
kube-burner,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude code, cursor, gemini","Code Reviews, Issue Triaging","Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
OPA,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://www.openpolicyagent.org/docs/contrib-code#ai-guidelines,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,It doesn't,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase",No,"We have many issues with this where people or their bots are trying to score points getting a PR accepted. Docs changes are the worse as the comments a piped back to the model and we go round and round. Sometimes contributors are very rude to maintainers. ","Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Kepler, Kepler-Operator","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (but only specific tools),We adheres to the Linux Foundation's Generative AI Policy,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Codex + Claude,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"License / legal compliance, Impact on community health and contributor growth",
Armada,Dev Manager,2 years+,"Yes, most but not all",Yes,No policies exist,,None,"Claude, Perplexity, Greptile",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"KitOps, ModelPack","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/kitops-ml/kitops/blob/main/CONTRIBUTING.md#ai-assisted-contributions,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude Code, GitHub Copilot, Llama, OpenClaw",Code Reviews,"Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis",Unsure,We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, Project bloat with features or docs that aren't really needed but are easy to implement with AI. We also worry about unexpected incompatibilities due to contributors not deeply understanding the project's architecture.",
kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",,"Code Reviews, Issue Triaging",Code Reviews / Pull Requests Analysis,No,The PR is automatically rejected,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
kubefleet,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,No,No policies exist,https://github.com/kubefleet-dev/kubefleet,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Spin and SpinKube,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot and Claude Code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,Reviewer or maintainer workload,"I think for open source projects, AI is a net benefit for resolving smaller issues in issue queues and for considering refactors."
"kcp, multicluster-runtime","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,AI usage is allowed (any tool is ok),,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","custom build claw agents, claudecode, etc","Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We don’t reject it but we ask the developer to improve the PR,"High volume of low-effort issues or PRs, Impact on community health and contributor growth",I think we looking to short term view now. We should think about how it will work in a year. And we should be working on our own automation
